id,name,age,address,cell phone,gender,height,weight,bmi
1,조다현,39,대구 해운대구 123-45,010-9078-3368,남성,150.699997,92.500000,40.730076
2,조현유,61,울산 성북구 123-45,010-2297-4483,여성,154.399994,85.000000,35.655323
3,강민유,60,용인 분당구 123-45,010-6475-7471,남성,168.899994,95.599998,33.511868
4,임민솔,28,용인 남구 123-45,010-6429-4493,여성,158.500000,67.900002,27.027832
5,조유윤,60,청주 수성구 123-45,010-5071-1559,여성,155.000000,42.200001,17.565037
6,임예유,22,안양 해운대구 123-45,010-7732-6689,남성,150.800003,47.000000,20.667843
7,윤지서,24,전주 덕진구 123-45,010-5797-9435,남성,177.300003,43.599998,13.869762
8,오선율,36,대구 덕진구 123-45,010-4691-2263,여성,157.899994,95.699997,38.383774
9,정예솔,76,울산 강남구 123-45,010-7227-2690,남성,152.699997,47.299999,20.285376
10,신아재,22,광주 강남구 123-45,010-4663-8907,남성,156.600006,50.299999,20.510885
11,임진솔,32,김해 덕양구 123-45,010-8680-6290,남성,154.600006,73.800003,30.877165
12,최민린,54,포항 진해구 123-45,010-8802-6909,여성,162.199997,97.500000,37.059788
13,박다린,33,화성 강서구 123-45,010-1876-4369,남성,162.899994,68.300003,25.738226
14,최시연,49,안산 서구 123-45,010-2026-2469,남성,161.500000,40.299999,15.451120
15,김소슬,23,안양 강남구 123-45,010-2019-4107,남성,163.000000,65.900002,24.803343
16,임하현,22,대구 송파구 123-45,010-7475-2648,여성,172.699997,82.800003,27.761677
17,한나솔,67,청주 덕양구 123-45,010-8276-9370,여성,150.800003,55.099998,24.229748
18,박나슬,38,울산 성동구 123-45,010-5395-7500,남성,169.399994,57.400002,20.002541
19,정민민,63,대전 기흥구 123-45,010-1869-4464,남성,173.199997,99.800003,33.268620
20,신하우,54,청주 덕양구 123-45,010-3848-6278,여성,172.199997,59.000000,19.896914
21,임현유,70,광주 수성구 123-45,010-1015-7616,여성,178.399994,94.199997,29.597921
22,이민영,39,성남 동구 123-45,010-2761-9055,남성,154.699997,66.699997,27.870531
23,서태린,45,천안 팔달구 123-45,010-6643-3420,남성,165.100006,44.700001,16.398849
24,정현서,47,남양주 분당구 123-45,010-8930-4296,여성,162.899994,61.900002,23.326445
25,조선호,48,인천 흥덕구 123-45,010-5904-8430,여성,168.100006,61.400002,21.728659
26,오진훈,44,용인 강서구 123-45,010-7902-8174,여성,154.399994,50.200001,21.057615
27,김민진,43,평택 장유동 123-45,010-2538-9475,남성,177.100006,98.699997,31.468788
28,한건유,60,서울 장유동 123-45,010-7428-9538,남성,174.600006,67.300003,22.076315
29,박도영,35,창원 흥덕구 123-45,010-5135-3418,여성,153.699997,41.000000,17.355461
30,임하안,67,대구 팔달구 123-45,010-5868-1833,여성,155.699997,42.599998,17.572454
31,한시우,32,울산 팔달구 123-45,010-8078-4359,남성,150.199997,78.400002,34.751713
32,윤아슬,58,부산 덕진구 123-45,010-8231-7178,여성,151.199997,50.200001,21.958374
33,오태호,25,청주 덕양구 123-45,010-1529-4775,여성,173.199997,50.299999,16.767651
34,신다서,38,평택 팔달구 123-45,010-2243-7589,여성,156.000000,83.000000,34.105854
35,한현안,50,수원 분당구 123-45,010-8337-3585,남성,150.399994,45.500000,20.114801
36,임나진,55,울산 흥덕구 123-45,010-9614-3549,남성,161.800003,67.400002,25.745590
37,조도현,38,용인 중구 123-45,010-3665-9426,여성,161.500000,84.699997,32.474190
38,정시서,78,안양 신제주 123-45,010-1753-8483,여성,153.100006,47.799999,20.392830
39,서은호,22,고양 서구 123-45,010-8744-5879,남성,170.399994,91.199997,31.409111
40,오선민,37,안양 덕양구 123-45,010-5060-9214,여성,152.699997,59.099998,25.345999
41,최소우,22,광주 수성구 123-45,010-2006-7928,여성,163.100006,86.699997,32.592010
42,임채진,23,평택 동구 123-45,010-4178-4634,여성,179.300003,98.000000,30.483547
43,박소율,42,부산 장유동 123-45,010-4763-4773,남성,170.300003,46.799999,16.136766
44,이서린,54,안양 진해구 123-45,010-3509-6185,남성,164.899994,73.599998,27.066776
45,신유민,79,서울 덕진구 123-45,010-5213-1607,남성,167.100006,79.500000,28.471754
46,조진호,73,대구 덕진구 123-45,010-1153-7391,남성,153.199997,83.699997,35.662186
47,윤태서,26,평택 남구 123-45,010-9012-8654,여성,150.699997,98.800003,43.504128
48,최선유,50,전주 진해구 123-45,010-2329-4824,남성,157.300003,62.700001,25.340200
49,한예재,68,세종 서구 123-45,010-4585-1724,여성,166.600006,62.799999,22.626097
50,이도진,46,안양 덕진구 123-45,010-1846-4849,여성,162.600006,52.500000,19.857208
51,윤서민,43,광주 진해구 123-45,010-4555-3923,여성,170.300003,96.199997,33.170021
52,최유빈,53,청주 서북구 123-45,010-6615-4044,남성,169.899994,93.800003,32.494972
53,장서현,55,부산 해운대구 123-45,010-5072-8748,남성,151.899994,50.400002,21.843138
54,서하안,40,전주 성동구 123-45,010-4178-7850,여성,176.399994,96.599998,31.044165
55,김유안,28,성남 강서구 123-45,010-3760-3476,여성,177.199997,81.699997,26.019241
56,이다연,59,용인 기흥구 123-45,010-4441-3958,남성,157.600006,72.500000,29.189425
57,김아우,25,대구 신제주 123-45,010-2105-9927,여성,154.500000,89.000000,37.284908
58,임민진,20,전주 덕양구 123-45,010-5545-8635,여성,156.500000,67.099998,27.396420
59,조아린,30,청주 남구 123-45,010-7880-3726,남성,151.000000,93.599998,41.050835
60,조소훈,52,화성 해운대구 123-45,010-9243-8494,남성,178.500000,77.000000,24.166531
61,강유아,27,화성 일산동구 123-45,010-2043-6592,남성,174.699997,48.799999,15.989469
62,김지유,70,창원 덕양구 123-45,010-2287-6743,여성,154.500000,95.300003,39.924175
63,김예율,36,남양주 달서구 123-45,010-5179-1581,남성,175.199997,74.800003,24.368759
64,신수유,43,광주 기흥구 123-45,010-1202-3540,여성,163.500000,93.000000,34.789440
